size of n,serial time (s),POSIX time (s),POSIX speedup,OpenMP time (s),OpenMP speedup
10000000,0.979662,0.278458,3.518167,0.203897,4.804697
15000000,1.761587,0.675047,2.609576,0.461991,3.813034
20000000,2.588536,0.735107,3.521303,0.651249,3.974725
25000000,3.762600,1.129142,3.332266,1.159491,3.245044
30000000,4.903342,1.272400,3.853618,1.022811,4.793988
35000000,5.714005,1.482581,3.854092,1.242836,4.597553
40000000,6.851562,1.782417,3.843973,1.531239,4.474522
45000000,8.101668,2.038076,3.975155,1.707922,4.743582
50000000,9.394144,2.330487,4.030978,2.005037,4.685273
55000000,10.742937,2.645926,4.060180,2.292901,4.685303
60000000,12.200847,3.001301,4.065186,2.682211,4.548802
65000000,13.688996,3.440690,3.978561,2.869421,4.770648
70000000,15.167055,3.666345,4.136832,3.187832,4.757796
75000000,16.713384,4.108135,4.068363,3.518756,4.749799
80000000,18.305474,4.442267,4.120751,3.880142,4.717733
85000000,19.953708,4.746618,4.203773,4.184436,4.768553
90000000,21.653491,5.111892,4.235905,4.534965,4.774786
95000000,23.360322,5.540118,4.216575,4.894893,4.772386
100000000,25.126858,6.024685,4.170651,5.342200,4.703467
105000000,26.948138,6.426413,4.193341,5.811971,4.636661
110000000,28.788991,6.825639,4.217772,6.144510,4.685319
115000000,30.665897,7.273997,4.215825,6.558646,4.675644
120000000,32.585209,7.752286,4.203303,6.979814,4.668493
125000000,34.521670,8.200915,4.209490,7.349746,4.696988
130000000,36.510189,8.606516,4.242157,7.774264,4.696289
135000000,38.659923,10.130654,3.816133,9.882159,3.912093
140000000,41.249440,10.171703,4.055313,9.430142,4.374212
145000000,42.834069,10.369314,4.130849,9.232953,4.639260
150000000,44.844469,10.729165,4.179679,9.728221,4.609730
200000000,67.649660,16.137284,4.192134,14.984870,4.514531
