graph,series,x,value,n,procs,threads,nodes,note
1,serial,44.0,14.2945,44000000,1,1,1,runtime_s
1,serial,48.0,16.2226,48000000,1,1,1,runtime_s
1,serial,52.0,18.1768,52000000,1,1,1,runtime_s
1,serial,56.0,20.1921,56000000,1,1,1,runtime_s
1,serial,60.0,22.2495,60000000,1,1,1,runtime_s
1,serial,64.0,24.4138,64000000,1,1,1,runtime_s
1,serial,68.0,26.5945,68000000,1,1,1,runtime_s
1,serial,72.0,28.9469,72000000,1,1,1,runtime_s
1,serial,76.0,31.2028,76000000,1,1,1,runtime_s
1,serial,80.0,33.5592,80000000,1,1,1,runtime_s
1,serial,84.0,35.9984,84000000,1,1,1,runtime_s
1,serial,88.0,38.4302,88000000,1,1,1,runtime_s
1,serial,92.0,40.9621,92000000,1,1,1,runtime_s
1,serial,96.0,43.5302,96000000,1,1,1,runtime_s
1,serial,100.0,46.1321,100000000,1,1,1,runtime_s
1,serial,104.0,48.8568,104000000,1,1,1,runtime_s
1,serial,108.0,51.5590,108000000,1,1,1,runtime_s
1,serial,112.0,54.3428,112000000,1,1,1,runtime_s
1,serial,116.0,57.0547,116000000,1,1,1,runtime_s
1,serial,120.0,59.8404,120000000,1,1,1,runtime_s
1,serial,124.0,63.6372,124000000,1,1,1,runtime_s
1,serial,128.0,65.7416,128000000,1,1,1,runtime_s
1,serial,132.0,68.5138,132000000,1,1,1,runtime_s
1,serial,136.0,71.5384,136000000,1,1,1,runtime_s
1,serial,140.0,74.6916,140000000,1,1,1,runtime_s
1,serial,144.0,77.7414,144000000,1,1,1,runtime_s
1,serial,148.0,80.7841,148000000,1,1,1,runtime_s
1,serial,152.0,83.9733,152000000,1,1,1,runtime_s
1,serial,156.0,87.1053,156000000,1,1,1,runtime_s
1,serial,160.0,90.3928,160000000,1,1,1,runtime_s
1,openmp,44.0,1.0677,44000000,1,16,1,runtime_s
1,openmp,48.0,1.1906,48000000,1,16,1,runtime_s
1,openmp,52.0,1.2987,52000000,1,16,1,runtime_s
1,openmp,56.0,1.4015,56000000,1,16,1,runtime_s
1,openmp,60.0,1.5913,60000000,1,16,1,runtime_s
1,openmp,64.0,1.6958,64000000,1,16,1,runtime_s
1,openmp,68.0,1.8929,68000000,1,16,1,runtime_s
1,openmp,72.0,1.9877,72000000,1,16,1,runtime_s
1,openmp,76.0,2.1338,76000000,1,16,1,runtime_s
1,openmp,80.0,2.2748,80000000,1,16,1,runtime_s
1,openmp,84.0,2.4651,84000000,1,16,1,runtime_s
1,openmp,88.0,2.6535,88000000,1,16,1,runtime_s
1,openmp,92.0,2.7970,92000000,1,16,1,runtime_s
1,openmp,96.0,2.9280,96000000,1,16,1,runtime_s
1,openmp,100.0,3.0759,100000000,1,16,1,runtime_s
1,openmp,104.0,3.2814,104000000,1,16,1,runtime_s
1,openmp,108.0,3.4737,108000000,1,16,1,runtime_s
1,openmp,112.0,3.6470,112000000,1,16,1,runtime_s
1,openmp,116.0,3.8769,116000000,1,16,1,runtime_s
1,openmp,120.0,4.0053,120000000,1,16,1,runtime_s
1,openmp,124.0,4.1955,124000000,1,16,1,runtime_s
1,openmp,128.0,4.4051,128000000,1,16,1,runtime_s
1,openmp,132.0,4.6631,132000000,1,16,1,runtime_s
1,openmp,136.0,4.9435,136000000,1,16,1,runtime_s
1,openmp,140.0,4.9795,140000000,1,16,1,runtime_s
1,openmp,144.0,5.1812,144000000,1,16,1,runtime_s
1,openmp,148.0,5.3849,148000000,1,16,1,runtime_s
1,openmp,152.0,5.6165,152000000,1,16,1,runtime_s
1,openmp,156.0,5.7901,156000000,1,16,1,runtime_s
1,openmp,160.0,6.0009,160000000,1,16,1,runtime_s
1,mpi,44.0,0.9998,44000000,16,1,1,runtime_s
1,mpi,48.0,1.1640,48000000,16,1,1,runtime_s
1,mpi,52.0,1.2700,52000000,16,1,1,runtime_s
1,mpi,56.0,1.3972,56000000,16,1,1,runtime_s
1,mpi,60.0,1.5541,60000000,16,1,1,runtime_s
1,mpi,64.0,1.6763,64000000,16,1,1,runtime_s
1,mpi,68.0,1.8389,68000000,16,1,1,runtime_s
1,mpi,72.0,1.9695,72000000,16,1,1,runtime_s
1,mpi,76.0,2.1495,76000000,16,1,1,runtime_s
1,mpi,80.0,2.3442,80000000,16,1,1,runtime_s
1,mpi,84.0,2.5003,84000000,16,1,1,runtime_s
1,mpi,88.0,2.6214,88000000,16,1,1,runtime_s
1,mpi,92.0,2.7970,92000000,16,1,1,runtime_s
1,mpi,96.0,2.9624,96000000,16,1,1,runtime_s
1,mpi,100.0,3.1382,100000000,16,1,1,runtime_s
1,mpi,104.0,3.2971,104000000,16,1,1,runtime_s
1,mpi,108.0,3.5171,108000000,16,1,1,runtime_s
1,mpi,112.0,3.6963,112000000,16,1,1,runtime_s
1,mpi,116.0,3.8943,116000000,16,1,1,runtime_s
1,mpi,120.0,4.0591,120000000,16,1,1,runtime_s
1,mpi,124.0,4.2706,124000000,16,1,1,runtime_s
1,mpi,128.0,4.4251,128000000,16,1,1,runtime_s
1,mpi,132.0,4.6030,132000000,16,1,1,runtime_s
1,mpi,136.0,4.7889,136000000,16,1,1,runtime_s
1,mpi,140.0,4.9742,140000000,16,1,1,runtime_s
1,mpi,144.0,5.2571,144000000,16,1,1,runtime_s
1,mpi,148.0,5.4838,148000000,16,1,1,runtime_s
1,mpi,152.0,5.7480,152000000,16,1,1,runtime_s
1,mpi,156.0,5.8758,156000000,16,1,1,runtime_s
1,mpi,160.0,6.1455,160000000,16,1,1,runtime_s
2,openmp,44.0,13.3878,44000000,1,16,1,slowest repeat 12.544
2,openmp,48.0,13.6261,48000000,1,16,1,slowest repeat 13.191
2,openmp,52.0,13.9962,52000000,1,16,1,slowest repeat 13.474
2,openmp,56.0,14.4070,56000000,1,16,1,slowest repeat 13.637
2,openmp,60.0,13.9817,60000000,1,16,1,slowest repeat 13.520
2,openmp,64.0,14.3971,64000000,1,16,1,slowest repeat 14.162
2,openmp,68.0,14.0500,68000000,1,16,1,slowest repeat 9.965
2,openmp,72.0,14.5632,72000000,1,16,1,slowest repeat 13.978
2,openmp,76.0,14.6229,76000000,1,16,1,slowest repeat 13.935
2,openmp,80.0,14.7525,80000000,1,16,1,slowest repeat 14.314
2,openmp,84.0,14.6031,84000000,1,16,1,slowest repeat 14.252
2,openmp,88.0,14.4830,88000000,1,16,1,slowest repeat 14.086
2,openmp,92.0,14.6449,92000000,1,16,1,slowest repeat 14.348
2,openmp,96.0,14.8671,96000000,1,16,1,slowest repeat 14.577
2,openmp,100.0,14.9978,100000000,1,16,1,slowest repeat 14.341
2,openmp,104.0,14.8891,104000000,1,16,1,slowest repeat 14.523
2,openmp,108.0,14.8427,108000000,1,16,1,slowest repeat 14.676
2,openmp,112.0,14.9008,112000000,1,16,1,slowest repeat 14.704
2,openmp,116.0,14.7165,116000000,1,16,1,slowest repeat 14.238
2,openmp,120.0,14.9405,120000000,1,16,1,slowest repeat 14.743
2,openmp,124.0,15.1680,124000000,1,16,1,slowest repeat 14.752
2,openmp,128.0,14.9241,128000000,1,16,1,slowest repeat 12.449
2,openmp,132.0,14.6928,132000000,1,16,1,slowest repeat 7.748
2,openmp,136.0,14.4713,136000000,1,16,1,slowest repeat 8.774
2,openmp,140.0,14.9999,140000000,1,16,1,slowest repeat 13.631
2,openmp,144.0,15.0045,144000000,1,16,1,slowest repeat 14.112
2,openmp,148.0,15.0019,148000000,1,16,1,slowest repeat 14.672
2,openmp,152.0,14.9512,152000000,1,16,1,slowest repeat 14.604
2,openmp,156.0,15.0439,156000000,1,16,1,slowest repeat 14.789
2,openmp,160.0,15.0633,160000000,1,16,1,slowest repeat 14.797
2,mpi,44.0,14.2974,44000000,16,1,1,slowest repeat 13.848
2,mpi,48.0,13.9372,48000000,16,1,1,slowest repeat 13.764
2,mpi,52.0,14.3124,52000000,16,1,1,slowest repeat 14.062
2,mpi,56.0,14.4521,56000000,16,1,1,slowest repeat 14.168
2,mpi,60.0,14.3165,60000000,16,1,1,slowest repeat 14.112
2,mpi,64.0,14.5639,64000000,16,1,1,slowest repeat 7.878
2,mpi,68.0,14.4620,68000000,16,1,1,slowest repeat 8.916
2,mpi,72.0,14.6979,72000000,16,1,1,slowest repeat 7.556
