graph,series,x,value,n,procs,threads,nodes,fastest_s,slowest_s
1,serial,10.0,1.7695,10000000,1,1,1,1.7695,1.7806
1,serial,15.0,3.1299,15000000,1,1,1,3.1299,3.1299
1,serial,20.0,4.7157,20000000,1,1,1,4.7157,4.7157
1,serial,25.0,6.4493,25000000,1,1,1,6.4493,6.4493
1,serial,30.0,8.3674,30000000,1,1,1,8.3674,8.3674
1,serial,35.0,10.3968,35000000,1,1,1,10.3968,10.3968
1,serial,40.0,12.5455,40000000,1,1,1,12.5455,12.5455
1,serial,45.0,14.8075,45000000,1,1,1,14.8075,14.8075
1,serial,50.0,17.2436,50000000,1,1,1,17.2436,17.6849
1,serial,55.0,19.7484,55000000,1,1,1,19.7484,19.7484
1,serial,60.0,22.3146,60000000,1,1,1,22.3146,22.3146
1,serial,65.0,25.0254,65000000,1,1,1,25.0254,25.0254
1,serial,70.0,27.7415,70000000,1,1,1,27.7415,32.9963
1,serial,75.0,30.6688,75000000,1,1,1,30.6688,30.6688
1,serial,80.0,33.6627,80000000,1,1,1,33.6627,33.6627
1,serial,85.0,36.7093,85000000,1,1,1,36.7093,36.7093
1,serial,90.0,39.8225,90000000,1,1,1,39.8225,39.8225
1,serial,95.0,42.9133,95000000,1,1,1,42.9133,42.9133
1,serial,100.0,46.0633,100000000,1,1,1,46.0633,48.1740
1,serial,105.0,49.4843,105000000,1,1,1,49.4843,49.4843
1,serial,110.0,52.9537,110000000,1,1,1,52.9537,52.9537
1,serial,115.0,56.3994,115000000,1,1,1,56.3994,56.3994
1,serial,120.0,59.8632,120000000,1,1,1,59.8632,59.8632
1,serial,125.0,63.4425,125000000,1,1,1,63.4425,66.3267
1,serial,130.0,67.3564,130000000,1,1,1,67.3564,67.3564
1,serial,135.0,71.0164,135000000,1,1,1,71.0164,71.0164
1,serial,140.0,74.7892,140000000,1,1,1,74.7892,74.7892
1,serial,145.0,78.7432,145000000,1,1,1,78.7432,78.7432
1,serial,150.0,82.5781,150000000,1,1,1,82.5781,82.5781
1,serial,155.0,86.3840,155000000,1,1,1,86.3840,86.4362
