impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
serial,none,100000000,1,1,1,5761455,46.253570,0.373700,45.879870,0.000000,0.00,0.373700
serial,none,100000000,1,1,1,5761455,46.202110,0.310025,45.892085,0.000000,0.00,0.310025
serial,none,100000000,1,1,1,5761455,46.132073,0.259421,45.872651,0.000000,0.00,0.259421
serial,none,100000000,1,1,1,5761455,46.177884,0.291573,45.886311,0.000000,0.00,0.291573
serial,none,100000000,1,1,1,5761455,46.182260,0.311151,45.871109,0.000000,0.00,0.311151
mpi,cyclic,100000000,1,1,1,5761455,46.125228,0.253672,45.868207,0.003349,0.00,0.246609
mpi,cyclic,100000000,1,1,1,5761455,46.133668,0.247290,45.881146,0.005232,0.00,0.240490
mpi,cyclic,100000000,1,1,1,5761455,46.107263,0.222493,45.881479,0.003290,0.00,0.215731
mpi,cyclic,100000000,2,1,1,5761455,23.247866,0.290475,22.952214,0.005177,0.04,0.282302
mpi,cyclic,100000000,2,1,1,5761455,23.315397,0.347985,22.961848,0.005564,0.03,0.339437
mpi,cyclic,100000000,2,1,1,5761455,23.291934,0.336212,22.950063,0.005660,0.04,0.328092
mpi,cyclic,100000000,4,1,1,5761455,11.762891,0.275396,11.481359,0.006135,0.06,0.267841
mpi,cyclic,100000000,4,1,1,5761455,11.756803,0.268676,11.481819,0.006308,0.07,0.261024
mpi,cyclic,100000000,4,1,1,5761455,11.791675,0.302370,11.483302,0.006004,0.09,0.294843
mpi,cyclic,100000000,8,1,1,5761455,6.053898,0.302656,5.744674,0.006568,0.21,0.294635
mpi,cyclic,100000000,8,1,1,5761455,6.037267,0.276964,5.744104,0.016200,0.12,0.266844
mpi,cyclic,100000000,8,1,1,5761455,6.104465,0.291756,5.806326,0.006383,1.01,0.284509
mpi,cyclic,100000000,16,1,1,5761455,3.279767,0.286537,2.985204,0.008026,4.06,0.279347
mpi,cyclic,100000000,16,1,1,5761455,3.230204,0.346082,2.874773,0.009349,0.37,0.338833
mpi,cyclic,100000000,16,1,1,5761455,3.190251,0.299447,2.878813,0.011991,0.44,0.291775
mpi,weighted,100000000,2,1,1,5761455,24.002472,0.297205,23.700421,0.004846,6.32,0.297174
mpi,weighted,100000000,2,1,1,5761455,24.006558,0.292501,23.708485,0.005572,6.45,0.292471
mpi,weighted,100000000,2,1,1,5761455,24.037840,0.277560,23.747900,0.012381,6.47,0.277524
mpi,weighted,100000000,4,1,1,5761455,12.565169,0.275627,12.281519,0.008023,10.21,0.275582
mpi,weighted,100000000,4,1,1,5761455,12.529889,0.253427,12.268431,0.008031,10.22,0.253387
mpi,weighted,100000000,4,1,1,5761455,12.583166,0.293670,12.280121,0.009374,10.33,0.293628
mpi,weighted,100000000,8,1,1,5761455,6.649936,0.292684,6.350003,0.007249,13.58,0.292640
mpi,weighted,100000000,8,1,1,5761455,6.640934,0.274207,6.358506,0.008221,13.68,0.274163
mpi,weighted,100000000,8,1,1,5761455,6.604964,0.235262,6.362639,0.007062,13.31,0.235223
mpi,weighted,100000000,16,1,1,5761455,3.549439,0.227547,3.302609,0.019283,17.07,0.227460
mpi,weighted,100000000,16,1,1,5761455,3.599521,0.235687,3.341275,0.022559,18.00,0.235605
mpi,weighted,100000000,16,1,1,5761455,3.544189,0.221577,3.297569,0.025042,16.93,0.221493
mpi,block,100000000,2,1,1,5761455,29.163381,0.265248,28.890237,0.007896,40.94,0.265218
mpi,block,100000000,2,1,1,5761455,29.135763,0.268405,28.862399,0.004959,40.79,0.268376
mpi,block,100000000,2,1,1,5761455,29.116863,0.230663,28.879475,0.006724,40.93,0.230630
mpi,block,100000000,4,1,1,5761455,15.813095,0.314635,15.489954,0.008506,58.93,0.314598
mpi,block,100000000,4,1,1,5761455,15.901836,0.364720,15.529041,0.008075,59.00,0.364684
mpi,block,100000000,4,1,1,5761455,15.848938,0.334382,15.505979,0.008577,59.00,0.334344
mpi,block,100000000,8,1,1,5761455,8.370301,0.314047,8.048597,0.007656,70.47,0.313994
mpi,block,100000000,8,1,1,5761455,8.294396,0.258549,8.027914,0.007933,70.26,0.258506
mpi,block,100000000,8,1,1,5761455,8.292236,0.282938,8.001311,0.007986,70.26,0.282892
mpi,block,100000000,16,1,1,5761455,7.319909,0.256656,7.038698,0.024556,74.73,0.256569
mpi,block,100000000,16,1,1,5761455,4.333018,0.270251,4.050697,0.012070,77.98,0.270158
mpi,block,100000000,16,1,1,5761455,4.302401,0.237753,4.051909,0.012740,77.98,0.237677
pthreads,cyclic,100000000,1,1,1,5761455,46.485350,0.468432,46.016746,0.000172,0.00,0.468432
pthreads,cyclic,100000000,1,1,1,5761455,46.344184,0.324450,46.019524,0.000210,0.00,0.324450
pthreads,cyclic,100000000,1,1,1,5761455,46.271239,0.267408,46.003647,0.000184,0.00,0.267408
pthreads,cyclic,100000000,1,2,1,5761455,23.361482,0.305438,23.054128,0.001917,0.11,0.305438
pthreads,cyclic,100000000,1,2,1,5761455,23.423370,0.356416,23.064906,0.002048,0.21,0.356416
pthreads,cyclic,100000000,1,2,1,5761455,23.468835,0.413173,23.054218,0.001443,0.07,0.413173
pthreads,cyclic,100000000,1,4,1,5761455,12.022220,0.482823,11.537860,0.001537,0.17,0.482823
pthreads,cyclic,100000000,1,4,1,5761455,11.926105,0.393769,11.530413,0.001922,0.15,0.393769
pthreads,cyclic,100000000,1,4,1,5761455,11.901296,0.371170,11.528926,0.001200,0.09,0.371170
pthreads,cyclic,100000000,1,8,1,5761455,6.189866,0.422509,5.765478,0.001879,0.25,0.422509
pthreads,cyclic,100000000,1,8,1,5761455,6.153530,0.371943,5.780814,0.000773,0.48,0.371943
pthreads,cyclic,100000000,1,8,1,5761455,6.046266,0.271499,5.772763,0.002003,0.36,0.271499
pthreads,cyclic,100000000,1,16,1,5761455,3.156762,0.239813,2.908681,0.008268,1.02,0.239812
pthreads,cyclic,100000000,1,16,1,5761455,3.181379,0.257054,2.901524,0.022802,0.87,0.257053
pthreads,cyclic,100000000,1,16,1,5761455,3.185277,0.274206,2.901109,0.009962,0.83,0.274206
openmp,dynamic,100000000,1,1,1,5761455,46.278273,0.217221,46.061032,0.000020,0.00,0.217221
openmp,dynamic,100000000,1,1,1,5761455,46.234423,0.183017,46.051390,0.000017,0.00,0.183017
openmp,dynamic,100000000,1,1,1,5761455,46.216515,0.175434,46.041066,0.000015,0.00,0.175434
openmp,dynamic,100000000,1,2,1,5761455,23.282922,0.193266,23.089589,0.000067,0.00,0.193266
openmp,dynamic,100000000,1,2,1,5761455,23.257067,0.172233,23.084757,0.000078,0.00,0.172233
openmp,dynamic,100000000,1,2,1,5761455,23.263544,0.178399,23.085075,0.000070,0.00,0.178399
openmp,dynamic,100000000,1,4,1,5761455,11.715579,0.171350,11.544075,0.000154,0.00,0.171350
openmp,dynamic,100000000,1,4,1,5761455,11.727499,0.189717,11.537631,0.000152,0.00,0.189716
openmp,dynamic,100000000,1,4,1,5761455,11.727852,0.186580,11.540887,0.000385,0.00,0.186580
openmp,dynamic,100000000,1,8,1,5761455,5.949077,0.174660,5.774027,0.000390,0.00,0.174660
openmp,dynamic,100000000,1,8,1,5761455,5.988430,0.183582,5.804524,0.000324,0.00,0.183582
openmp,dynamic,100000000,1,8,1,5761455,5.946882,0.175560,5.770677,0.000644,0.00,0.175560
openmp,dynamic,100000000,1,16,1,5761455,3.107384,0.198160,2.900306,0.008918,0.13,0.198159
openmp,dynamic,100000000,1,16,1,5761455,3.094791,0.173653,2.918695,0.002443,0.00,0.173653
