impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct
mpi,cyclic,100000000,1,1,1,5761455,45.963877,0.010913,45.948610,0.004354,0.00
mpi,cyclic,100000000,1,1,1,5761455,45.912795,0.010688,45.898625,0.003482,0.00
mpi,cyclic,100000000,1,1,1,5761455,45.919053,0.010737,45.904834,0.003481,0.00
mpi,block,100000000,2,1,1,5761455,28.846151,0.000031,28.840650,0.005470,40.89
mpi,block,100000000,2,1,1,5761455,28.875574,0.000032,28.869724,0.005818,40.92
mpi,block,100000000,2,1,1,5761455,28.855480,0.000032,28.849743,0.005705,40.92
mpi,block,100000000,2,1,1,5761455,28.853620,0.000037,28.848408,0.005174,40.91
mpi,block,100000000,2,1,1,5761455,28.854147,0.000037,28.847417,0.006693,40.93
mpi,block,100000000,4,1,1,5761455,15.504055,0.000047,15.496101,0.007907,58.81
mpi,block,100000000,4,1,1,5761455,15.500614,0.000041,15.493962,0.006612,58.92
mpi,block,100000000,4,1,1,5761455,15.506745,0.000038,15.497720,0.008987,58.92
mpi,block,100000000,4,1,1,5761455,15.484859,0.000054,15.477232,0.007573,58.94
mpi,block,100000000,4,1,1,5761455,15.533405,0.000040,15.517998,0.015367,58.97
mpi,block,100000000,8,1,1,5761455,8.043830,0.000053,8.026670,0.017106,70.25
mpi,block,100000000,8,1,1,5761455,8.019738,0.000058,8.002834,0.016846,69.96
mpi,block,100000000,8,1,1,5761455,8.006155,0.000057,7.990964,0.015134,70.22
mpi,block,100000000,8,1,1,5761455,8.009270,0.000052,7.993013,0.016205,70.22
mpi,block,100000000,8,1,1,5761455,8.013041,0.000049,7.997537,0.015454,70.14
mpi,block,100000000,16,1,1,5761455,5.570523,0.000119,5.547140,0.023264,83.89
mpi,block,100000000,16,1,1,5761455,4.145550,0.000113,4.130917,0.014521,78.37
mpi,block,100000000,16,1,1,5761455,4.084060,0.000110,4.061548,0.022402,78.03
mpi,block,100000000,16,1,1,5761455,4.062343,0.000088,4.049431,0.012824,77.96
mpi,block,100000000,16,1,1,5761455,4.060699,0.000087,4.048788,0.011824,77.96
mpi,cyclic,100000000,2,1,1,5761455,22.985324,0.017808,22.962270,0.005246,0.08
mpi,cyclic,100000000,2,1,1,5761455,22.975604,0.017629,22.952717,0.005259,0.01
mpi,cyclic,100000000,2,1,1,5761455,22.979155,0.018134,22.956318,0.004703,0.00
mpi,cyclic,100000000,2,1,1,5761455,22.982303,0.017731,22.958888,0.005684,0.01
mpi,cyclic,100000000,2,1,1,5761455,22.998771,0.018020,22.975445,0.005307,0.00
mpi,cyclic,100000000,4,1,1,5761455,11.522857,0.027324,11.489167,0.006366,0.11
mpi,cyclic,100000000,4,1,1,5761455,11.519720,0.027326,11.486012,0.006382,0.06
mpi,cyclic,100000000,4,1,1,5761455,11.520187,0.027212,11.485905,0.007070,0.04
mpi,cyclic,100000000,4,1,1,5761455,11.520378,0.027108,11.486780,0.006489,0.08
mpi,cyclic,100000000,4,1,1,5761455,11.520165,0.027694,11.486308,0.006164,0.05
mpi,cyclic,100000000,8,1,1,5761455,5.798288,0.049099,5.742561,0.006629,0.10
mpi,cyclic,100000000,8,1,1,5761455,5.800331,0.049655,5.743974,0.006701,0.12
mpi,cyclic,100000000,8,1,1,5761455,5.800742,0.050187,5.744015,0.006539,0.13
mpi,cyclic,100000000,8,1,1,5761455,5.823109,0.049654,5.766510,0.006945,0.31
mpi,cyclic,100000000,8,1,1,5761455,5.900172,0.049492,5.843739,0.006941,1.56
mpi,cyclic,100000000,16,1,1,5761455,2.989650,0.095183,2.887260,0.007207,0.66
mpi,cyclic,100000000,16,1,1,5761455,2.994929,0.096853,2.890919,0.007157,0.77
mpi,cyclic,100000000,16,1,1,5761455,2.974236,0.096137,2.875122,0.002977,0.25
mpi,cyclic,100000000,16,1,1,5761455,4.952818,0.101171,4.843473,0.008174,40.58
mpi,cyclic,100000000,16,1,1,5761455,2.978458,0.095041,2.876452,0.006966,0.38
mpi,weighted,100000000,2,1,1,5761455,23.714645,0.000031,23.709706,0.004909,6.45
mpi,weighted,100000000,2,1,1,5761455,23.712361,0.000029,23.707721,0.004611,6.39
mpi,weighted,100000000,2,1,1,5761455,23.724274,0.000034,23.719608,0.004631,6.48
mpi,weighted,100000000,2,1,1,5761455,23.728460,0.000032,23.723153,0.005274,6.37
mpi,weighted,100000000,2,1,1,5761455,23.724128,0.000035,23.719443,0.004650,6.36
mpi,weighted,100000000,4,1,1,5761455,12.272703,0.000039,12.266394,0.006270,10.18
mpi,weighted,100000000,4,1,1,5761455,12.276754,0.000040,12.270739,0.005975,10.28
mpi,weighted,100000000,4,1,1,5761455,12.276027,0.000040,12.270119,0.005869,10.23
mpi,weighted,100000000,4,1,1,5761455,12.274597,0.000038,12.268511,0.006048,10.20
mpi,weighted,100000000,4,1,1,5761455,12.278399,0.000041,12.271988,0.006370,10.23
mpi,weighted,100000000,8,1,1,5761455,6.358823,0.000041,6.351020,0.007762,13.13
