impl,scheme,n,parallelism,nodes,reps,median_s,min_s,max_s,speedup,efficiency_pct,serial_s,overhead_s,imbalance_pct,karp_flatt_e
mpi,block,100000000,2,1,5,28.854147,28.846151,28.875574,1.5909,79.55,0.000032,0.005705,40.92,0.2571
mpi,block,100000000,4,1,5,15.504055,15.484859,15.533405,2.9609,74.02,0.000041,0.007907,58.92,0.1170
mpi,block,100000000,8,1,5,8.013041,8.006155,8.043830,5.7288,71.61,0.000053,0.016205,70.22,0.0566
mpi,block,100000000,16,1,5,4.084060,4.060699,5.570523,11.2402,70.25,0.000110,0.014521,78.03,0.0282
mpi,block,100000000,16,2,5,4.111326,4.106556,4.128008,11.1656,69.79,0.018225,0.042074,78.00,0.0289
mpi,block,100000000,32,2,5,2.103648,2.100618,2.110822,21.8218,68.19,0.015888,0.049145,83.51,0.0150
mpi,cyclic,1000000,8,1,12,0.013927,0.013392,0.028654,4.9282,61.60,0.000959,0.004027,1.98,0.0890
mpi,cyclic,5000000,8,1,12,0.087053,0.086679,0.095623,7.4901,93.63,0.003688,0.001381,0.89,0.0097
mpi,cyclic,10000000,8,1,12,0.226844,0.225044,0.233516,7.6385,95.48,0.006496,0.001888,0.70,0.0068
mpi,cyclic,50000000,8,1,12,2.166459,2.163586,2.195989,7.8678,98.35,0.026515,0.004337,0.24,0.0024
mpi,cyclic,100000000,1,1,12,45.943518,45.912795,46.187582,0.9992,99.92,0.011505,0.004338,0.00,
mpi,cyclic,100000000,2,1,5,22.982303,22.975604,22.998771,1.9974,99.87,0.017808,0.005259,0.01,0.0013
mpi,cyclic,100000000,4,1,5,11.520187,11.519720,11.522857,3.9848,99.62,0.027324,0.006382,0.06,0.0013
mpi,cyclic,100000000,8,1,17,5.822956,5.793867,8.316796,7.8835,98.54,0.049972,0.007509,0.26,0.0021
mpi,cyclic,100000000,16,1,5,2.989650,2.974236,4.952818,15.3548,95.97,0.096137,0.007157,0.66,0.0028
mpi,cyclic,100000000,16,2,5,3.046651,3.031390,3.355346,15.0675,94.17,0.114788,0.042841,0.80,0.0041
mpi,cyclic,100000000,32,2,5,1.697479,1.690552,1.705226,27.0433,84.51,0.202893,0.048232,0.55,0.0059
mpi,cyclic-weak,50000000,1,1,3,17.046334,17.045727,17.050701,0.9999,99.99,0.000002,0.003807,0.00,
mpi,cyclic-weak,79370000,2,1,3,20.731741,20.731344,20.731800,,,0.000029,0.005062,40.80,
mpi,cyclic-weak,126000000,4,1,3,21.585060,21.580620,21.622123,,,0.000038,0.009473,59.06,
